name,MET2013,INCTOT,SEX,RACWHT,EDUC,VALUEH,employment,year,25-35 percentage,children percentage,23-27 vs 13-17 ratio
Not in identifiable area   ,0,33766.77662,0.519742043,0.903494903,7.455335968,139123.4887,0.943794338,2012,0.216501365,0.087975708,0.805977836
"Akron, OH ",10420,39848.54696,0.488950276,0.928176796,8.08839779,150506.0773,0.961309524,2012,0.212621646,0.099861304,0.724576271
"Albany-Schenectady-Troy, NY ",10580,43883.31288,0.496932515,0.942740286,8.550102249,195193.6605,0.965367965,2012,0.217468411,0.095820591,0.903041825
"Albuquerque, NM ",10740,35970.73043,0.5,0.658695652,7.865217391,167835.2174,0.945368171,2012,0.237059265,0.051687764,0.858037578
"Allentown-Bethlehem-Easton, PA-NJ ",10900,42266.14414,0.493243243,0.93018018,8.13963964,201002.2523,0.95215311,2012,0.208739142,0.075662043,0.772828508
"Amarillo, TX ",11100,41152.67442,0.534883721,0.848837209,7.470930233,129558.1395,0.987179487,2012,0.25467128,0.046195652,0.928571429
"Anchorage, AK ",11260,43995.52153,0.483253589,0.885167464,7.354066986,241741.6268,0.954285714,2012,0.256823821,0.185990338,0.965
"Ann Arbor, MI",11460,47772.19375,0.54375,0.91875,8.8625,215143.125,0.953642384,2012,0.268618714,0.092417062,1.272727273
"Anniston-Oxford-Jacksonville, AL ",11500,28169.04762,0.53968254,0.841269841,7.015873016,120388.8889,0.827586207,2012,0.223463687,0.041666667,0.888888889
"Asheville, NC ",11700,31248.52918,0.521400778,0.949416342,7.879377432,168442.4125,0.933054393,2012,0.219660194,0.047882136,0.949541284
"Atlanta-Sandy Springs-Roswell, GA",12060,44005.905,0.48346235,0.700211119,8.374736101,179309.0429,0.948746727,2012,0.240239319,0.044699872,0.799272286
"Atlantic City-Hammonton, NJ",12100,35530.0813,0.536585366,0.691056911,7.837398374,224154.4715,0.926605505,2012,0.191582003,0.102272727,0.780487805
"Auburn-Opelika, AL ",12220,34083.93939,0.560606061,0.863636364,8.515151515,143257.5758,0.93220339,2012,0.272189349,0.028985507,1.782608696
"Augusta-Richmond County, GA-SC",12260,34600.17921,0.483870968,0.713261649,7.795698925,133650.5376,0.921875,2012,0.233230532,0.054545455,0.776435045
"Austin-Round Rock, TX",12420,46991.04981,0.495300752,0.844924812,8.322368421,202570.2068,0.957446809,2012,0.277011731,0.041604755,1.205410822
"Bakersfield, CA ",12540,36180.47607,0.534005038,0.748110831,6.916876574,155246.8514,0.903314917,2012,0.293116586,0.026863085,0.989380531
