MET2013,Name,INCTOT,SEX,RACWHT,EDUC,VALUEH,employment,year,percentage,children percentage,23-27 vs 13-17 ratio
0,Not in identifiable area   ,40805.93811,0.50888259,0.911972534,7.229869456,161542.5546,0.9570819,2012,0.216501365,0.087975708,0.805977836
10420,"Akron, OH ",52143.71588,0.505811451,0.931554025,7.858372794,174252.1739,0.966800805,2012,0.212621646,0.099861304,0.724576271
10580,"Albany-Schenectady-Troy, NY ",58059.8306,0.496618357,0.94589372,8.165539452,226217.1014,0.964688204,2012,0.217468411,0.095820591,0.903041825
10740,"Albuquerque, NM ",47141.24686,0.492202358,0.751996957,7.833777102,211927.0065,0.951298701,2012,0.237059265,0.051687764,0.858037578
10900,"Allentown-Bethlehem-Easton, PA-NJ ",49933.67518,0.509854015,0.94270073,7.703284672,224715.1825,0.949767835,2012,0.208739142,0.075662043,0.772828508
11100,"Amarillo, TX ",45977.66,0.514444444,0.885555556,7.347777778,140904.3333,0.978919631,2012,0.25467128,0.046195652,0.928571429
11260,"Anchorage, AK ",58048.06303,0.507996237,0.901222954,7.824082785,271154.2803,0.952774498,2012,0.256823821,0.185990338,0.965
11460,"Ann Arbor, MI",61910.10039,0.475868726,0.884169884,8.884169884,248256.6602,0.967779056,2012,0.268618714,0.092417062,1.272727273
11500,"Anniston-Oxford-Jacksonville, AL ",35796.69589,0.512328767,0.830136986,6.871232877,123909.863,0.939849624,2012,0.223463687,0.041666667,0.888888889
11700,"Asheville, NC ",40998.27798,0.489169675,0.944645006,7.796028881,221087.7858,0.95585997,2012,0.219660194,0.047882136,0.949541284
12060,"Atlanta-Sandy Springs-Roswell, GA",59215.02356,0.503198804,0.714618834,8.223378176,222356.0299,0.952061964,2012,0.240239319,0.044699872,0.799272286
12100,"Atlantic City-Hammonton, NJ",47469.18358,0.486887115,0.78677309,7.549600912,270198.9738,0.931726908,2012,0.191582003,0.102272727,0.780487805
12220,"Auburn-Opelika, AL ",47184.37015,0.501492537,0.782089552,7.859701493,186218.806,0.977272727,2012,0.272189349,0.028985507,1.782608696
12260,"Augusta-Richmond County, GA-SC",48435.44219,0.482779828,0.715867159,7.731857319,169453.7515,0.960708783,2012,0.233230532,0.054545455,0.776435045
12420,"Austin-Round Rock, TX",63555.14181,0.511371237,0.866889632,8.259531773,260322.9264,0.965416748,2012,0.277011731,0.041604755,1.205410822
12540,"Bakersfield, CA ",44562.72865,0.525,0.782291667,6.602604167,173125.3125,0.921479559,2012,0.293116586,0.026863085,0.989380531
12580,"Baltimore-Columbia-Towson, MD ",64448.41988,0.49460357,0.771378165,8.21056455,331752.1586,0.959985794,2012,0.241264205,0.079187518,1.030065359
12620,"Bangor, ME ",37122.65991,0.491419657,0.984399376,7.452418097,145544.3058,0.956862745,2012,0.171929825,0.115646259,0.88172043
12700,"Barnstable Town, MA",59675.94099,0.472049689,0.971014493,8.514492754,489765.528,0.947044335,2012,0.140201394,0.226519337,0.610062893
12940,"Baton Rouge, LA",50077.37215,0.506392694,0.71369863,7.516438356,184847.8082,0.968253968,2012,0.26162287,0.040838852,0.95215311
13140,"Beaumont-Port Arthur, TX",45825.74021,0.520284698,0.771530249,7.074733096,127935.3737,0.946208113,2012,0.229573712,0.046421663,0.870722433
13380,"Bellingham, WA ",53359.72991,0.495726496,0.888888889,7.969230769,315090.9402,0.966666667,2012,0.215231788,0.112820513,0.842592593
13460,"Bend-Redmond, OR ",43071.88946,0.4781491,0.984575835,7.953727506,255196.6581,0.925,2012,0.21192053,0.0390625,0.744680851
13780,"Binghamton, NY ",47906.78046,0.500503525,0.974823766,7.931520645,137569.4864,0.953542393,2012,0.200573066,0.089285714,0.900662252
13820,"Birmingham-Hoover, AL ",48303.73079,0.506222944,0.773268398,7.689935065,187423.3766,0.964550979,2012,0.222323214,0.077677841,0.784962406
13900,"Bismarck, ND ",55959.23544,0.52184466,0.995145631,7.844660194,183026.9417,0.988636364,2012,0.240875912,0.128787879,0.898305085
13980,"Blacksburg-Christiansburg-Radford, VA ",43505.65941,0.506930693,0.962376238,7.62970297,192883.3663,0.97323601,2012,0.239543726,0.063492063,1.457142857
14010,"Bloomington, IL ",53376.24737,0.481578947,0.944736842,7.989473684,162735,0.958083832,2012,0.232741617,0.088983051,1.009009009
14020,"Bloomington, IN ",48245.13249,0.488958991,0.940063091,8.27444795,193611.6719,0.959259259,2012,0.287671233,0.054421769,2.55
14260,"Boise City, ID",44526.80871,0.502648617,0.960565038,7.724543849,175539.6704,0.964183381,2012,0.247320365,0.075441413,0.761061947
14460,"Boston-Cambridge-Newton, MA-NH ",74819.70991,0.497496558,0.891037677,8.593315809,438054.0681,0.959943879,2012,0.240741479,0.077827455,1.061231631
14740,"Bremerton-Silverdale, WA ",57560.50591,0.516648765,0.893662728,8.015037594,300104.0816,0.949801849,2012,0.240955631,0.056657224,1
14860,"Bridgeport-Stamford-Norwalk, CT ",103636.3229,0.515583259,0.875037103,8.740279015,635294.2713,0.947455387,2012,0.199684294,0.113636364,0.591040462
15180,"Brownsville-Harlingen, TX ",33777.52236,0.487477639,0.907871199,6.3980322,100783.8998,0.949002217,2012,0.257960065,0.037656904,0.536340852
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",48939.4898,0.502392344,0.924704105,7.974565601,147895.1901,0.962139423,2012,0.216615173,0.095087163,0.991176471
15500,"Burlington, NC ",43793.21713,0.496307238,0.802067947,7.375184638,166439.1433,0.952631579,2012,0.193381593,0.090909091,0.669565217
15540,"Burlington-South Burlington, VT",52959.73185,0.49037037,0.982222222,8.219259259,271779.8519,0.966044143,2012,0.230855856,0.117073171,1
15940,"Canton-Massillon, OH ",43024.71337,0.518942102,0.959971408,7.448892066,142460.4718,0.94772922,2012,0.213122842,0.055555556,0.769874477
15980,"Cape Coral-Fort Myers,FL",48816.4903,0.485330681,0.913973148,7.573346594,213100.8951,0.933023873,2012,0.186779867,0.048701299,0.715447154
16580,"Champaign-Urbana, IL ",51382.00323,0.47819063,0.911147011,8.266558966,170353.7964,0.970260223,2012,0.296059638,0.050359712,1.436893204
16620,"Charleston, WV ",46578.85838,0.51300578,0.950867052,7.533236994,134369.2197,0.962699822,2012,0.212605833,0.084070796,0.821705426
16700,"Charleston-North Charleston, SC",50521.55752,0.497735507,0.773550725,7.872735507,280641.712,0.956068094,2012,0.2772612,0.048780488,1.523364486
16740,"Charlotte-Concord-Gastonia, NC-SC ",53470.37452,0.505038388,0.807581574,7.840930902,211896.857,0.952952812,2012,0.234323432,0.059691482,0.818299805
16860,"Chattanooga, TN-GA ",50437.08174,0.49522673,0.894988067,7.631861575,192816.4678,0.967455621,2012,0.225177969,0.054908486,0.875796178
16980,"Chicago-Naperville-Elgin, IL-IN-WI ",62022.91004,0.511156689,0.800205099,8.074012518,278083.2066,0.947526778,2012,0.252699587,0.060077694,0.866666667
17020,"Chico, CA ",44984.53195,0.502228826,0.91679049,7.621099554,228658.2467,0.935166994,2012,0.245266781,0.031578947,1.173333333
17140,"Cincinnati, OH-KY-IN ",53928.32192,0.509844255,0.928004702,7.864384367,188734.7341,0.95939174,2012,0.235218636,0.081409987,0.895222129
17300,"Clarksville, TN-KY ",42624.86952,0.546681665,0.849268841,7.361079865,153522.9471,0.962025316,2012,0.326662363,0.029644269,1.48603352
17460,"Cleveland-Elyria, OH ",52377.63384,0.494440032,0.86483982,7.916600477,182878.5412,0.959206002,2012,0.211037257,0.089929548,0.784172662
17660,"Coeur d'Alene, ID",38700.63073,0.48787062,0.970350404,7.71967655,211183.8275,0.9375,2012,0.217472119,0.094017094,0.847457627
17780,"College Station-Bryan, TX",55398.98312,0.506329114,0.816455696,7.890295359,181893.4599,0.975961538,2012,0.344586729,0.054054054,1.508928571
17820,"Colorado Springs, CO",53451.33929,0.506944444,0.905257937,8.232142857,249094.2956,0.954865182,2012,0.264894299,0.036275695,1.033505155
17860,"Columbia, MO ",48178.72165,0.487113402,0.948453608,8.432989691,177713.1443,0.93030303,2012,0.29480737,0.039772727,1.698113208
17900,"Columbia, SC ",48430.45007,0.494971264,0.772270115,8.044899425,180577.1193,0.961016949,2012,0.246359793,0.043851287,0.97515528
18140,"Columbus, OH ",55589.20106,0.495297249,0.888731145,8.129015084,194344.4188,0.962229102,2012,0.260417843,0.05160451,0.986326345
18580,"Corpus Christi, TX",45846.12183,0.513324873,0.878807107,7.027918782,134851.5863,0.967563291,2012,0.239063699,0.04975923,0.717142857
19100,"Dallas-Fort Worth-Arlington, TX",61485.27951,0.519431736,0.804912112,7.857259812,213334.6978,0.962768312,2012,0.252205269,0.05707196,0.800353357
19300,"Daphne-Fairhope-Foley, AL ",46336.13053,0.505263158,0.945263158,7.831578947,195837.6842,0.962365591,2012,0.20505618,0.082191781,0.756410256
19380,"Dayton, OH ",48571.70353,0.5,0.882211538,7.773237179,156042.8686,0.948855334,2012,0.223298496,0.067351598,0.782157676
19460,"Decatur, AL ",43912.85083,0.497237569,0.865561694,7.167587477,137581.9521,0.932853717,2012,0.194552529,0.113333333,0.598214286
19500,"Decatur, IL ",45212.54021,0.52371134,0.927835052,7.426804124,116449.4845,0.941605839,2012,0.210378682,0.073333333,0.679487179
19660,"Deltona-Daytona Beach-Ormond Beach,FL",40264.4784,0.487139918,0.905349794,7.382201646,178595.3189,0.932396252,2012,0.184184514,0.057245081,0.973063973
19740,"Denver-Aurora-Lakewood, CO ",65008.71227,0.506654287,0.907458991,8.455380171,316359.1767,0.960676136,2012,0.260386111,0.054755043,0.968053044
19780,"Des Moines-West DesMoines,IA",50420.78885,0.493232269,0.955062263,7.898754737,178238.4949,0.976485149,2012,0.261562379,0.087667162,0.95532646
19820,"Detroit-Warren-Dearborn, MI ",52895.50291,0.511023622,0.832598425,7.908740157,164261.0866,0.945022145,2012,0.206459921,0.086278586,0.755789474
20100,"Dover, DE ",40764.23929,0.501785714,0.823214286,7.278571429,201655,0.932126697,2012,0.216944801,0.082840237,0.827956989
20700,"East Stroudsburg, PA",44421.82709,0.498559078,0.916426513,7.616714697,188385.879,0.913043478,2012,0.17826087,0.036585366,0.549019608
20740,"Eau Claire, WI",42004.36891,0.520599251,0.990636704,7.602996255,194562.1723,0.967248908,2012,0.219047619,0.099378882,0.715789474
20940,"El Centro, CA",40339.64865,0.505405405,0.845945946,6.410810811,158208.1081,0.914191419,2012,0.252051583,0.027906977,1.026315789
21140,"Elkhart-Goshen, IN ",42486.24081,0.522058824,0.930147059,7.005514706,140288.4191,0.970338983,2012,0.242387333,0.125628141,0.624113475
21340,"El Paso, TX",38515.70485,0.508370044,0.869603524,6.951982379,135000.837,0.948881789,2012,0.280164651,0.031221304,0.946127946
21500,"Erie, PA ",42648.29063,0.501912046,0.959847036,7.461759082,142670.1721,0.949608063,2012,0.213460231,0.073248408,0.967532468
21660,"Eugene, OR ",45014.95234,0.49273021,0.943457189,7.799676898,252226.252,0.937691522,2012,0.221453287,0.060267857,0.914691943
22180,"Fayetteville, NC ",43841.97656,0.484375,0.598214286,7.581473214,162249.7768,0.943055556,2012,0.337316676,0.025764895,1.323275862
22220,"Fayetteville-Springdale-Rogers, AR-MO ",53239.77284,0.534551231,0.936457506,7.474185862,183035.7427,0.968955786,2012,0.274349822,0.044609665,0.922746781
22380,"Flagstaff, AZ ",44198.51693,0.509803922,0.556149733,7.557932264,224386.631,0.924485126,2012,0.224080268,0.074626866,0.905109489
